"""company""","""creation_date""","""approve_date""","""closed_date""","""po_no""","""po_status""","""line_num""","""line_type""","""item_number""","""item_description""","""inventory_type""","""main_category""","""group_category""","""sub_group_category""","""sub_sub_group_category""","""uom""","""buyer_name""","""vendor_no""","""vendor_name""","""payment_term""","""vendor_site_code""","""closed_code""","""header_cancel""","""line_cancel""","""quantity_received""","""quantity_accepted""","""quantity_rejected""","""quantity_cancelled""","""currency_code""","""rate""","""quantity""","""unit_price""","""amount""","""amount_egp"""
ASF,2019-06-27 00:00:00,2019-08-06 00:00:00,2019-09-26 12:24:16,190394,Approved,1,Goods,4030305944,"Ring, scatter ring, diameter 5860/6200, thickness 25 mm, pos. no. 03.04.01.20, material hardox 400, weight 52 kg, according to dwg. No. 13002633, for OK cement mill dam ring",Wear parts,Mechanical items,mechanical items for cement grinding area (500),Scatter ring for cement mill dam ring,,Each,Buyer_05,9019,Vendor_059,14 days,Site_066,CLOSED,Valid,Valid,24,24,0,0,EGP,1,24,3700,88800,88800
EGYLUX,2019-06-27 00:00:00,2019-07-18 00:00:00,2019-09-03 11:57:43,190395,Approved,1,Goods,3060411366,"Pump, centrifugal, water, type 3LM 50-200/11 , casing and impeller material stainless steel 316, supplier EBARA, Q 55 m3/hr, H 43 m, complete with motor, IP 55, Class F, 11 KW, 380 V, 50 Hz",Spare parts,Mechanical items,mechanical items for utilities area (700),Pump,,Each,Buyer_03,9068,Vendor_122,14 days,Site_045,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,26220,52440,52440
ESCC,2019-06-27 00:00:00,2019-07-10 00:00:00,2019-07-31 16:52:24,190396,Approved,1,Goods,3030201129,"Belt, V-belt type, SPB 1250",Spare parts,Mechanical items,V-belt items,V-belt,,Each,Buyer_03,9079,Vendor_111,14 days,Site_046,CLOSED,Valid,Valid,6,6,0,0,EGP,1,6,86,516,516
ASF,2019-06-27 00:00:00,2019-07-30 00:00:00,2019-11-04 15:50:53,190397,Approved,1,Goods,3040209714,"Valve, directional control valve, type DG17V-3-6N-60, supplier SPERRY VICKERS, for extractor, Hydraulic unit, SPL 50030937, item no.06.03.01.04, for hammer crusher 111.HC100",Spare parts,Mechanical items,mechanical items for raw materials handling area (100),Valve,,Each,Buyer_03,9099,Vendor_112,14 days,Site_080,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,5320,5320,5320
ASF,2019-06-26 00:00:00,2019-07-30 00:00:00,2019-12-03 16:04:57,190384,Approved,1,Direct,,"Rod, round, diameter 090 mm, recommended length 1000 mm, material phosfor bronz.",,,,Brass for control gate.,,Each,Buyer_01,9124,Vendor_134,Immediate,Site_016,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,9690,9690,9690
EGYLUX,2019-06-26 00:00:00,,,190385,Rejected,1,Direct,,"Disc, cutting, 9 in, material stainless steel.",,,,Stainless cutting disc.,,Each,Buyer_05,9017,Vendor_058,14 days,Site_043,OPEN,Valid,Valid,0,0,0,0,EGP,1,10,26.2,262,262
ESCC,2019-06-26 00:00:00,2019-07-30 00:00:00,2019-09-17 13:56:20,190386,Approved,1,Goods,3059906403,"Belt, conveyor type PN 20-A, PVC, width 650 mm, closed, length 2380 mm, thick. 4 mm, three plies, without bottom cover, with rubber guide in bottom side, pos. no. 4, code 800162D, for bags cleaning units, for new packing area",Spare parts,Mechanical items,mechanical items for cement storage and dispatch area (600),PVC belts for packing area.,,Each,Buyer_01,9106,Vendor_054,,Site_107,CLOSED,Valid,Valid,6,6,0,0,EGP,1,6,925,5550,5550
ESCC,2019-06-26 00:00:00,2019-07-30 00:00:00,2019-08-20 15:25:10,190387,Approved,1,Goods,3130203615,"Thermocouple, Type K, Length 1000mm, Hollow Bar SS446, OD 22mm, ID 9mm, element size 8mm, with transmitter TH300, output 4-20mA, for temperature range 0-1000C.",Spare parts,Electrical items,Instrumentation,Thermocouple type K,,Each,Buyer_06,9078,Vendor_133,14 days,Site_061,CLOSED,Valid,Valid,8,8,0,0,EGP,1,8,1360,10880,10880
ASF,2019-06-26 00:00:00,2019-08-06 00:00:00,2020-09-30 16:07:07,190388,Approved,1,Direct,,"Maintennace of elelment of compressor 741-CP110, Manufacturer: ATLAS COPCO, type: GA 132- , 8.5 bar, serial no. S99698901",,,,Maintenance of element of atlas copco compressor.,,Kit,Buyer_01,9122,Vendor_039,"50% against LG, 50% after Delivery",Site_109,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,118000,118000,118000
EMAS,2019-06-26 00:00:00,2019-07-30 00:00:00,2019-08-05 13:19:58,190389,Approved,1,Goods,4990603764,"Cleaner, type JAW-2005 (SB), 10089-901-01/71000725, batch no. 1109-319, supplier Matthews, for printing machine for packing area",Production supplies,Production supplies,Production supplies,Cleaner,,Litre,Buyer_03,9167,Vendor_166,30 days,Site_094,CLOSED,Valid,Valid,120,120,0,0,EGP,1,120,45,5400,5400
ASF,2019-06-26 00:00:00,2019-07-30 00:00:00,2020-01-14 10:09:59,190390,Approved,1,Direct,,"Battery for UPS, type 12FLB250, 70 Ah, 12V, dimension 272X166X195 mm,  brand FIAMM.",,,,Battery for UPS,,Each,Buyer_06,9152,Vendor_070,21 days,Site_088,CLOSED,Valid,Valid,30,30,0,0,EGP,1,30,3757.775,112733.25,112733.25
ASF,2019-06-26 00:00:00,2019-07-30 00:00:00,2020-02-06 14:46:47,190391,Approved,1,Goods,3109911361,"Battery, for UPS, type HRL 1234W F2FR, 12V, dimension 150.9 x 94.3 x 64.8 mm.",Spare parts,Electrical items,Electrical Miscellaneous,Batteries of UPS,,Each,Buyer_06,9152,Vendor_070,21 days,Site_088,CLOSED,Valid,Valid,264,264,0,0,EGP,1,264,377.255,99595.32,99595.32
ASF,2019-06-26 00:00:00,2019-07-04 00:00:00,2019-07-15 12:01:33,190392,Approved,1,Direct,,"LCD monitor ""DELL"" MODEL 2007FPb 20""or equivalent",,,,Monitors,,Each,Buyer_07,9158,Vendor_126,30 days,Site_048,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,1381.57,2763.14,2763.14
ASF,2019-06-26 00:00:00,2019-07-04 00:00:00,2019-07-15 12:01:33,190392,Approved,2,Direct,,"LCD monitor ""DELL"" MODEL 2007FPb 20""or equivalent",,,,Monitors,,Each,Buyer_07,9158,Vendor_126,30 days,Site_048,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,1381.57,2763.14,2763.14
EGYLUX,2019-06-26 00:00:00,2019-07-02 00:00:00,2019-07-18 10:20:39,190393,Approved,1,Capex,,HP LaserJet 1102 ( Fixing Film & D-Shape ),,,,Maintenance,,Each,Buyer_07,9149,Vendor_119,Immediate,Site_017,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,350,350,350
ESCC,2019-06-26 00:00:00,2019-07-02 00:00:00,2019-07-18 10:20:39,190393,Approved,2,Capex,,HP LaserJet 2035 ( Fixing Film & D-Shape ),,,,Maintenance,,Each,Buyer_07,9149,Vendor_119,Immediate,Site_017,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,500,500,500
EGYLUX,2019-06-26 00:00:00,2019-07-02 00:00:00,2019-07-18 10:20:39,190393,Approved,3,Capex,,HP LaserJet 2035 ( Fixing Film & D-Shape),,,,Maintenance,,Each,Buyer_07,9149,Vendor_119,Immediate,Site_017,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,500,500,500
EGYLUX,2019-06-26 00:00:00,2019-07-02 00:00:00,2019-07-18 10:20:39,190393,Approved,4,Capex,,HP LaserJet 4015 ( Maintenance Kit),,,,Maintenance,,Each,Buyer_07,9149,Vendor_119,Immediate,Site_017,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,2600,2600,2600
EGYLUX,2019-06-26 00:00:00,2019-07-02 00:00:00,2019-07-18 10:20:39,190393,Approved,5,Capex,,HP ScanJet g2410 ( Full Maintenance ),,,,Maintenance,,Each,Buyer_07,9149,Vendor_119,Immediate,Site_017,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,300,300,300
ASF,2019-06-25 00:00:00,2019-10-17 00:00:00,2020-07-22 10:52:10,190382,Approved,1,Goods,4030202096,"Segment, wearing, modified material sintercast, according to dwg.10063924, FLS code (XF-2266), weight 885 kg, for rollers of  atox mill",Wear parts,Wear parts,mechanical items for raw meal production area (300),Rollers Segment,,Each,Buyer_04,9059,Vendor_013,,Site_020,CLOSED,Valid,Valid,36,36,0,0,EUR,18.7949,36,4200,151200,2841788.88
EMAS,2019-06-25 00:00:00,2019-08-22 00:00:00,2019-10-02 14:38:33,190383,Approved,1,Direct,,grinding machine 9 inch (bosch,,,,Grinding machine.,,Each,Buyer_05,9001,Vendor_087,14 days,Site_072,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,1600,1600,1600
ESCC,2019-06-24 00:00:00,2019-07-10 00:00:00,2019-08-05 12:31:02,190378,Approved,1,Goods,4060203003,"Oil, DTE 25",Lubricants,Lubricants,Lubricants,Lubricant & Grease,,Litre,Buyer_04,9025,Vendor_141,,Site_078,CLOSED,Valid,Valid,2080,2080,0,0,EGP,1,2080,31.83,66206.4,66206.4
EMAS,2019-06-24 00:00:00,2019-07-10 00:00:00,2019-08-05 12:31:02,190378,Approved,2,Goods,4060203012,"Oil, Mobilgear 600 XP 680",Lubricants,Lubricants,Lubricants,Lubricant & Grease,,Litre,Buyer_04,9025,Vendor_141,,Site_078,CLOSED,Valid,Valid,624,624,0,0,EGP,1,624,43.72,27281.28,27281.28
